condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'RB', 'resp': 'button'}",1,1,B,55.999403696346505,49.62938822381788,2.7999701848173255,0.7795766072305103,B,Correct,0.0,0.0,-45,45,6687,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,2,A,45.989647708604245,40.175074565281754,2.2994823854302124,0.6310685955585565,B,Incorrect,0.0,0.0,-45,45,3335,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,3,B,53.317742837404495,78.98186068014695,2.6658871418702246,1.240644166398011,A,Incorrect,0.0,0.0,-45,45,1245,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,4,B,65.53316173701441,38.007252910859364,3.2766580868507207,0.5970165326394252,B,Correct,0.0,0.0,-45,45,3925,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,5,B,67.18264926416516,68.21441415808142,3.359132463208258,1.071509511939801,B,Correct,0.0,0.0,-45,45,1047,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,6,B,56.41137269839437,52.69547417365867,2.8205686349197183,0.8277385727069838,B,Correct,0.0,0.0,-45,45,656,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,7,A,36.88070155417668,25.298317317512236,1.8440350777088341,0.3973850391643994,B,Incorrect,0.0,0.0,-45,45,616,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,8,B,62.056230539575814,39.29368201680127,3.102811526978791,0.6172237137823812,B,Correct,0.0,0.0,-45,45,843,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,9,A,36.27849673107332,22.587614828005197,1.813924836553666,0.35480542402888504,A,Correct,0.0,0.0,-45,45,564,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,10,A,45.598237004168524,29.461713692955197,2.2799118502084266,0.46278351649976934,B,Incorrect,0.0,0.0,-45,45,2431,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,11,B,65.12448182476696,81.0700679867942,3.256224091238348,1.2734456500666886,B,Correct,0.0,0.0,-45,45,2117,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,12,B,57.70894311487197,69.74873337776401,2.885447155743599,1.095610541883883,B,Correct,0.0,0.0,-45,45,933,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,13,A,35.76664971009856,86.85176188106894,1.788332485504928,1.364264285384481,A,Correct,0.0,0.0,-45,45,646,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,14,B,55.45784618117013,29.621878246109535,2.772892309058507,0.46529937541754507,A,Incorrect,0.0,0.0,-45,45,5647,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,15,B,55.275274617724364,46.201024720037275,2.7637637308862177,0.7257239992439476,B,Correct,0.0,0.0,-45,45,1077,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,16,A,43.7339607617522,33.26364465044968,2.18669803808761,0.5225041083273706,A,Correct,0.0,0.0,-45,45,660,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,17,B,68.26065767290717,39.08083942339847,3.413032883645359,0.613880390143355,B,Correct,0.0,0.0,-45,45,825,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,18,A,35.58483608192026,77.90670878004451,1.779241804096013,1.2237557198437363,A,Correct,0.0,0.0,-45,45,642,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,19,B,54.7106739135742,32.92164806149698,2.7355336956787095,0.5171320384703378,B,Correct,0.0,0.0,-45,45,811,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,20,A,34.36519979131525,61.44341472704512,1.7182599895657626,0.9651509015897793,A,Correct,0.0,0.0,-45,45,1011,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,21,B,55.855256343559866,44.54343267473823,2.7927628171779935,0.6996866042831458,A,Incorrect,0.0,0.0,-45,45,735,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,22,B,67.0658166977526,72.69353613320554,3.35329083488763,1.1418673953977136,B,Correct,0.0,0.0,-45,45,530,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,23,A,34.35238812324249,35.02049275771023,1.7176194061621246,0.5501006138635851,A,Correct,0.0,0.0,-45,45,511,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,24,B,60.53764400287939,55.35633139602501,3.0268822001439695,0.869535220217171,A,Incorrect,0.0,0.0,-45,45,669,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,25,B,57.27214439007216,57.30437533978839,2.863607219503608,0.9001350229301567,B,Correct,0.0,0.0,-45,45,1246,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,26,B,58.353417111024164,14.34908713967215,2.9176708555512083,0.22539493371856906,B,Correct,0.0,0.0,-45,45,752,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,27,B,57.34595430339627,32.228883246076,2.867297715169814,0.5062501141963777,B,Correct,0.0,0.0,-45,45,562,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,28,B,54.3312697989999,54.68504861167166,2.7165634899499946,0.858990734898142,B,Correct,0.0,0.0,-45,45,645,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,29,A,39.17304470041203,56.27523079746548,1.9586522350206013,0.8839692582619381,A,Correct,0.0,0.0,-45,45,624,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,30,A,31.27049367404092,53.99219108001634,1.563524683702046,0.8481073542409784,A,Correct,0.0,0.0,-45,45,445,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,31,A,44.462302126803344,20.52121539281537,2.2231151063401673,0.32234649760401274,B,Incorrect,0.0,0.0,-45,45,872,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,32,B,58.898074397992644,72.17921913786017,2.9449037198996324,1.1337885229267464,B,Correct,0.0,0.0,-45,45,558,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,33,B,50.658292277280566,47.024747914636215,2.5329146138640284,0.7386630129276653,A,Incorrect,0.0,0.0,-45,45,425,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,34,A,33.80110260253137,21.667604835551735,1.6900551301265687,0.34035394086128,A,Correct,0.0,0.0,-45,45,683,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,35,A,48.021806520448116,47.292388414226885,2.401090326022406,0.7428671000642512,B,Incorrect,0.0,0.0,-45,45,4636,-1,-1
"{'cat': 'RB', 'resp': 'button'}",1,36,B,59.77905115765849,81.55342350608326,2.9889525578829246,1.2810381808090416,B,Correct,0.0,0.0,-45,45,680,-1,-1
