condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",19,0,Right,53.85008583688365,40.12654914687141,2.692504291844182,0.6303063600686051,Left,Incorrect,0.0,0.0,-45,45,4705,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,1,Right,51.864086332168455,29.427023116637475,2.5932043166084227,0.46223859820122654,Right,Correct,0.0,0.0,-45,45,2409,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,2,Left,38.63097211687982,55.38406087442992,1.931548605843991,0.8699707938453947,Right,Incorrect,0.0,0.0,-45,45,1727,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,3,Right,38.84830269850621,12.350402435957676,1.9424151349253105,0.1939996678084106,Right,Correct,0.0,0.0,-45,45,1447,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,4,Right,69.51430988096268,41.49661949619964,3.475715494048134,0.6518273747903589,Left,Incorrect,0.0,0.0,-45,45,1827,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,5,Left,20.251253246434086,41.13009826162603,1.0125626623217043,0.6460700727007532,Left,Correct,0.0,0.0,-45,45,1058,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,6,Right,35.45941007892105,25.234728904632423,1.7729705039460526,0.3963861947106161,Right,Correct,0.0,0.0,-45,45,1066,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,7,Right,49.030261156710154,28.26729382844021,2.4515130578355073,0.44402161314145927,Right,Correct,0.0,0.0,-45,45,693,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,8,Right,39.04060764370696,24.850703732144556,1.952030382185348,0.3903539414072089,Right,Correct,0.0,0.0,-45,45,901,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,9,Left,38.16944381798524,46.31840244559827,1.908472190899262,0.727567764245535,Left,Correct,0.0,0.0,-45,45,1410,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,10,Left,45.731189738285885,70.08790831902061,2.2865594869142942,1.1009382894025506,Right,Incorrect,0.0,0.0,-45,45,1269,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,11,Right,67.9294005756159,40.67325996551926,3.396470028780795,0.6388940735261157,Right,Correct,0.0,0.0,-45,45,1157,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,12,Right,59.53615186790803,27.375821679551926,2.9768075933954012,0.43001840137232256,Right,Correct,0.0,0.0,-45,45,1508,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,13,Left,25.200859597933743,38.30983480534192,1.2600429798966872,0.6017694779235037,Left,Correct,0.0,0.0,-45,45,930,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,14,Right,70.02366116396226,50.65859477504273,3.501183058198113,0.7957433459322826,Right,Correct,0.0,0.0,-45,45,875,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,15,Left,49.908386675127026,61.96500404189246,2.495419333756351,0.973344007388356,Left,Correct,0.0,0.0,-45,45,1125,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,16,Left,55.28369900831363,63.3837484914104,2.764184950415682,0.9956295930879903,Left,Correct,0.0,0.0,-45,45,1984,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,17,Right,82.59980285360642,53.973392346679695,4.129990142680321,0.8478120644282424,Left,Incorrect,0.0,0.0,-45,45,2547,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,18,Right,41.54036883211529,16.44056680033999,2.0770184416057647,0.2582478194040018,Right,Correct,0.0,0.0,-45,45,1247,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,19,Right,45.29021787547424,16.174845237485425,2.264510893773712,0.2540738748551803,Right,Correct,0.0,0.0,-45,45,8264,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,20,Left,55.32381585749553,65.12701798606395,2.766190792874777,1.023012806276144,Left,Correct,0.0,0.0,-45,45,1107,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,21,Left,35.31317327193527,67.79219188329563,1.7656586635967637,1.0648772599565557,Left,Correct,0.0,0.0,-45,45,1019,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,22,Right,54.597963355149815,40.92827005075669,2.729898167757491,0.6428997625779818,Right,Correct,0.0,0.0,-45,45,2312,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,23,Right,59.75303764985256,36.12625924841022,2.987651882492628,0.5674699532824292,Right,Correct,0.0,0.0,-45,45,1024,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,24,Right,34.42870111911236,12.430058019755673,1.721435055955618,0.1952508947927966,Right,Correct,0.0,0.0,-45,45,787,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,25,Left,36.53853868197915,47.84700262181399,1.8269269340989576,0.7515789596649121,Left,Correct,0.0,0.0,-45,45,728,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,26,Left,26.462887571413304,48.55074611383133,1.3231443785706654,0.7626333365875785,Left,Correct,0.0,0.0,-45,45,803,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,27,Right,64.4137386605528,33.43738928443325,3.2206869330276398,0.5252332826559878,Right,Correct,0.0,0.0,-45,45,722,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,28,Left,49.216810347571986,66.27460240901189,2.460840517378599,1.041039020238681,Left,Correct,0.0,0.0,-45,45,1020,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,29,Left,48.76816864607436,79.86873597482692,2.4384084323037176,1.2545751709500952,100,Incorrect,0.0,0.0,-45,45,583,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,30,Right,75.82058968604117,53.700671600759584,3.7910294843020584,0.8435281769689218,Right,Correct,0.0,0.0,-45,45,989,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,31,Right,72.75686491787721,47.43979104170419,3.6378432458938605,0.7451824951222638,Right,Correct,0.0,0.0,-45,45,2479,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,32,Left,45.10907513050665,76.44204140636288,2.2554537565253328,1.2007487785381818,Left,Correct,0.0,0.0,-45,45,605,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,33,Left,41.848189072385914,53.81216298651327,2.0924094536192954,0.8452794795610333,100,Incorrect,0.0,0.0,-45,45,51,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,34,Left,50.677603357520105,81.18646205806357,2.533880167876005,1.275273963862795,Left,Correct,0.0,0.0,-45,45,55,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,35,Left,48.67731297993488,55.400318693133976,2.433865648996744,0.870226171064415,Right,Incorrect,0.0,0.0,-45,45,798,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,36,Right,65.23453607385173,34.80603731954826,3.261726803692586,0.5467319557183249,Right,Correct,0.0,0.0,-45,45,2825,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,37,Left,38.759715607092495,53.937737687756496,1.9379857803546248,0.8472520023555457,Left,Correct,0.0,0.0,-45,45,3902,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,38,Right,77.56244407560122,60.50942261505074,3.8781222037800607,0.9504797878020175,Right,Correct,0.0,0.0,-45,45,986,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,39,Left,17.866012890429843,41.28860036764725,0.8933006445214922,0.648559817960027,Left,Correct,0.0,0.0,-45,45,5742,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,40,Right,75.6006786050892,49.1331957426275,3.78003393025446,0.7717824339621393,Right,Correct,0.0,0.0,-45,45,618,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,41,Right,64.33577132826535,46.39456508548826,3.2167885664132676,0.7287641241953172,Right,Correct,0.0,0.0,-45,45,725,-1,-1
