condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,0.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,3.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,6.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,9.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,22.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,38.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,73.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,75.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,78.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,80.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,83.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,85.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,88.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,91.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,93.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,96.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,98.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,100.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,103.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,105.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,108.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,111.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,114.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,117.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,121.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,125.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,127.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,130.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,133.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,136.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,139.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,142.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,146.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,149.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,152.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,154.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,157.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,161.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,164.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,167.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,169.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,172.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,175.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,177.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,180.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,182.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,185.0,843,667
"{'cat': 'RB', 'resp': 'reach'}",2,0,state_init,189.0,843,667
