condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,1002,0,2,100,88.71,65.67,0.1,1.03,107,3529,Incorrect
incongruent_pointer_middle,1002,1,1,106,44.04,20.44,0.05,0.32,106,1416,Correct
incongruent_pointer_middle,1002,2,2,107,35.27,52.46,0.04,0.82,107,2134,Correct
incongruent_pointer_middle,1002,3,2,107,21.7,50.52,0.02,0.79,107,3981,Correct
incongruent_pointer_middle,1002,4,2,107,59.65,72.19,0.07,1.13,100,1800,Incorrect
incongruent_pointer_middle,1002,5,1,106,67.14,35.83,0.08,0.56,106,1176,Correct
incongruent_pointer_middle,1002,6,2,107,45.31,61.1,0.05,0.96,100,4164,Incorrect
incongruent_pointer_middle,1002,7,1,102,41.44,56.39,0.05,0.89,106,1525,Incorrect
incongruent_pointer_middle,1002,8,2,100,52.35,43.44,0.06,0.68,100,1423,Correct
incongruent_pointer_middle,1002,9,1,106,57.44,44.58,0.06,0.7,106,1303,Correct
incongruent_pointer_middle,1002,10,1,102,29.05,44.06,0.03,0.69,102,2863,Correct
incongruent_pointer_middle,1002,11,2,107,46.2,69.38,0.05,1.09,107,2466,Correct
incongruent_pointer_middle,1002,12,2,107,11.62,34.47,0.01,0.54,107,2608,Correct
incongruent_pointer_middle,1002,13,1,102,44.35,75.21,0.05,1.18,102,3304,Correct
incongruent_pointer_middle,1002,14,1,106,52.35,28.55,0.06,0.45,106,18887,Correct
incongruent_pointer_middle,1002,15,2,100,80.5,57.83,0.09,0.91,100,10324,Correct
incongruent_pointer_middle,1002,16,1,102,31.61,46.02,0.04,0.72,102,2344,Correct
incongruent_pointer_middle,1002,17,1,106,57.48,40.53,0.06,0.64,106,1714,Correct
incongruent_pointer_middle,1002,18,2,100,49.23,18.81,0.06,0.3,100,1430,Correct
incongruent_pointer_middle,1002,19,1,102,38.51,67.69,0.04,1.06,102,3204,Correct
incongruent_pointer_middle,1002,20,1,106,33.47,20.2,0.04,0.32,102,1871,Incorrect
incongruent_pointer_middle,1002,21,2,107,55.36,84.97,0.06,1.33,100,2085,Incorrect
incongruent_pointer_middle,1002,22,1,106,40.12,22.18,0.04,0.35,102,5718,Incorrect
incongruent_pointer_middle,1002,23,2,100,61.98,51.2,0.07,0.8,107,1590,Incorrect
incongruent_pointer_middle,1002,24,1,106,31.69,14.98,0.04,0.24,106,941,Correct
incongruent_pointer_middle,1002,25,2,107,46.87,62.0,0.05,0.97,100,2632,Incorrect
incongruent_pointer_middle,1002,26,1,102,41.42,50.2,0.05,0.79,106,1375,Incorrect
incongruent_pointer_middle,1002,27,2,107,40.12,62.86,0.04,0.99,107,2086,Correct
incongruent_pointer_middle,1002,28,1,106,63.14,55.49,0.07,0.87,102,1408,Incorrect
incongruent_pointer_middle,1002,29,1,106,59.3,42.73,0.07,0.67,106,2343,Correct
incongruent_pointer_middle,1002,30,2,100,60.37,45.76,0.07,0.72,100,2225,Correct
