condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,8,0,2,112,57.72,78.79,0.06,1.24,113,4185,Incorrect
incongruent_pinky_thumb,8,1,2,112,15.34,30.83,0.02,0.48,113,1819,Incorrect
incongruent_pinky_thumb,8,2,1,99,17.5,33.85,0.02,0.53,109,1604,Incorrect
incongruent_pinky_thumb,8,3,2,113,47.34,17.43,0.05,0.27,112,1557,Incorrect
incongruent_pinky_thumb,8,4,1,99,20.28,34.76,0.02,0.55,99,1107,Correct
incongruent_pinky_thumb,8,5,2,112,13.94,37.89,0.02,0.6,113,1065,Incorrect
incongruent_pinky_thumb,8,6,1,99,32.67,57.75,0.04,0.91,109,1355,Incorrect
incongruent_pinky_thumb,8,7,2,113,69.82,58.1,0.08,0.91,113,1790,Correct
incongruent_pinky_thumb,8,8,2,112,19.03,47.12,0.02,0.74,112,957,Correct
incongruent_pinky_thumb,8,9,1,109,74.81,53.29,0.08,0.84,99,2768,Incorrect
incongruent_pinky_thumb,8,10,2,112,57.22,83.43,0.06,1.31,112,2348,Correct
incongruent_pinky_thumb,8,11,1,99,42.14,71.85,0.05,1.13,99,3198,Correct
incongruent_pinky_thumb,8,12,1,99,25.38,55.47,0.03,0.87,99,1707,Correct
incongruent_pinky_thumb,8,13,2,112,38.95,64.88,0.04,1.02,112,1806,Correct
incongruent_pinky_thumb,8,14,2,112,55.16,63.47,0.06,1.0,113,1805,Incorrect
incongruent_pinky_thumb,8,15,1,109,32.08,13.47,0.04,0.21,109,2185,Correct
incongruent_pinky_thumb,8,16,2,112,64.49,78.54,0.07,1.23,112,1112,Correct
incongruent_pinky_thumb,8,17,2,112,25.74,36.43,0.03,0.57,112,1533,Correct
incongruent_pinky_thumb,8,18,1,99,36.92,65.95,0.04,1.04,109,1313,Incorrect
incongruent_pinky_thumb,8,19,1,99,19.21,46.28,0.02,0.73,109,2922,Incorrect
incongruent_pinky_thumb,8,20,2,112,44.59,54.18,0.05,0.85,112,1760,Correct
incongruent_pinky_thumb,8,21,2,112,43.72,60.06,0.05,0.94,113,789,Incorrect
incongruent_pinky_thumb,8,22,1,109,87.61,60.18,0.1,0.95,109,1602,Correct
incongruent_pinky_thumb,8,23,1,99,21.42,45.69,0.02,0.72,109,1998,Incorrect
incongruent_pinky_thumb,8,24,2,113,73.76,46.04,0.08,0.72,112,1603,Incorrect
incongruent_pinky_thumb,8,25,2,112,32.95,61.97,0.04,0.97,113,891,Incorrect
incongruent_pinky_thumb,8,26,2,112,47.68,72.99,0.05,1.15,113,1505,Incorrect
incongruent_pinky_thumb,8,27,1,109,80.24,66.37,0.09,1.04,109,2082,Correct
incongruent_pinky_thumb,8,28,1,109,53.67,37.76,0.06,0.59,109,1844,Correct
incongruent_pinky_thumb,8,29,1,99,64.65,78.07,0.07,1.23,109,1362,Incorrect
incongruent_pinky_thumb,8,30,1,109,66.56,47.1,0.07,0.74,99,2604,Incorrect
incongruent_pinky_thumb,8,31,2,112,37.04,67.85,0.04,1.07,112,1785,Correct
incongruent_pinky_thumb,8,32,2,112,57.1,77.87,0.06,1.22,112,1740,Correct
incongruent_pinky_thumb,8,33,1,109,87.47,62.58,0.1,0.98,109,1604,Correct
incongruent_pinky_thumb,8,34,2,113,75.83,62.48,0.08,0.98,113,1855,Correct
incongruent_pinky_thumb,8,35,2,112,33.58,52.28,0.04,0.82,112,952,Correct
incongruent_pinky_thumb,8,36,2,112,23.12,43.4,0.03,0.68,112,934,Correct
incongruent_pinky_thumb,8,37,2,112,66.3,87.54,0.07,1.38,112,1676,Correct
incongruent_pinky_thumb,8,38,2,112,27.78,51.5,0.03,0.81,113,1273,Incorrect
incongruent_pinky_thumb,8,39,2,113,84.31,59.28,0.09,0.93,112,766,Incorrect
incongruent_pinky_thumb,8,40,1,99,50.97,66.96,0.06,1.05,99,2053,Correct
incongruent_pinky_thumb,8,41,2,113,78.33,65.86,0.09,1.03,112,1498,Incorrect
incongruent_pinky_thumb,8,42,1,99,14.3,43.58,0.02,0.68,109,1914,Incorrect
incongruent_pinky_thumb,8,43,1,109,79.9,65.09,0.09,1.02,109,5474,Correct
incongruent_pinky_thumb,8,44,2,112,62.01,81.3,0.07,1.28,112,1378,Correct
incongruent_pinky_thumb,8,45,2,112,54.93,64.96,0.06,1.02,112,1135,Correct
incongruent_pinky_thumb,8,46,1,109,41.58,28.26,0.05,0.44,99,2520,Incorrect
incongruent_pinky_thumb,8,47,2,113,49.63,30.38,0.06,0.48,112,1425,Incorrect
incongruent_pinky_thumb,8,48,2,112,38.15,65.24,0.04,1.02,113,3365,Incorrect
incongruent_pinky_thumb,8,49,2,112,39.73,67.55,0.04,1.06,112,1075,Correct
incongruent_pinky_thumb,8,50,2,112,63.95,87.4,0.07,1.37,112,2448,Correct
incongruent_pinky_thumb,8,51,2,113,57.54,39.03,0.06,0.61,112,1061,Incorrect
incongruent_pinky_thumb,8,52,2,113,77.69,46.89,0.09,0.74,113,888,Correct
incongruent_pinky_thumb,8,53,1,99,61.94,80.19,0.07,1.26,109,1048,Incorrect
incongruent_pinky_thumb,8,54,1,109,75.4,60.54,0.08,0.95,99,860,Incorrect
incongruent_pinky_thumb,8,55,2,113,70.35,56.02,0.08,0.88,113,2361,Correct
incongruent_pinky_thumb,8,56,1,109,59.53,28.36,0.07,0.45,109,1777,Correct
incongruent_pinky_thumb,8,57,2,112,53.63,81.22,0.06,1.28,112,3250,Correct
