date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-05-20,mis_rep,0,0,60.0,1.0,0.0,2009,453,-0.46
2025-05-20,mis_rep,0,1,-30.0,1.0,0.0,2008,449,-2.24
2025-05-20,mis_rep,0,2,90.0,1.0,0.0,2007,408,0.1
2025-05-20,mis_rep,0,3,-60.0,1.0,0.0,2011,470,-2.59
2025-05-20,mis_rep,0,4,-90.0,1.0,0.0,2008,465,-2.92
2025-05-20,mis_rep,0,5,-90.0,1.0,0.0,2001,409,3.01
2025-05-20,mis_rep,0,6,-60.0,1.0,0.0,2005,485,-2.6
2025-05-20,mis_rep,0,7,-120.0,1.0,0.0,2010,420,2.97
2025-05-20,mis_rep,0,8,90.0,1.0,0.0,2003,420,-0.01
2025-05-20,mis_rep,0,9,120.0,1.0,0.0,2010,416,0.39
2025-05-20,mis_rep,0,10,90.0,1.0,0.0,2006,390,0.04
2025-05-20,mis_rep,0,11,-150.0,1.0,0.0,2003,445,2.34
2025-05-20,mis_rep,0,12,120.0,1.0,0.0,2001,422,0.52
2025-05-20,mis_rep,0,13,-150.0,1.0,0.0,2004,456,2.21
2025-05-20,mis_rep,0,14,-30.0,1.0,0.0,2009,462,-2.11
2025-05-20,mis_rep,0,15,60.0,1.0,0.0,2010,422,-0.4
2025-05-20,mis_rep,0,16,-30.0,1.0,0.0,2006,717,-2.26
2025-05-20,mis_rep,0,17,-150.0,1.0,0.0,2006,453,2.35
2025-05-20,mis_rep,0,18,0.0,1.0,0.0,2011,696,-1.7
2025-05-20,mis_rep,0,19,150.0,1.0,0.0,2008,421,0.89
2025-05-20,mis_rep,0,20,-120.0,1.0,0.0,2006,422,2.77
2025-05-20,mis_rep,0,21,30.0,1.0,0.0,2001,478,-0.81
2025-05-20,mis_rep,0,22,150.0,1.0,0.0,2003,442,1.11
2025-05-20,mis_rep,0,23,0.0,1.0,0.0,2009,588,-1.49
2025-05-20,mis_rep,0,24,60.0,1.0,0.0,2008,461,-0.43
2025-05-20,mis_rep,0,25,120.0,1.0,0.0,2002,1352,0.57
2025-05-20,mis_rep,0,26,30.0,1.0,0.0,2012,473,-0.81
2025-05-20,mis_rep,0,27,-120.0,1.0,0.0,2004,380,2.48
2025-05-20,mis_rep,0,28,150.0,1.0,0.0,2006,400,0.99
2025-05-20,mis_rep,0,29,-90.0,1.0,0.0,2010,436,3.12
2025-05-20,mis_rep,0,30,0.0,1.0,0.0,2003,542,-1.48
2025-05-20,mis_rep,0,31,30.0,1.0,0.0,2007,431,-0.9
2025-05-20,mis_rep,0,32,-60.0,1.0,0.0,2003,494,-2.61
2025-05-20,mis_rep,0,33,-90.0,1.0,0.0,2009,517,-2.98
2025-05-20,mis_rep,0,34,-30.0,1.0,0.0,2007,494,-2.46
2025-05-20,mis_rep,0,35,60.0,1.0,0.0,2010,440,-0.64
2025-05-20,mis_rep,0,36,-60.0,1.0,0.0,2005,761,-2.72
2025-05-20,mis_rep,0,37,30.0,1.0,0.0,2010,465,-0.99
2025-05-20,mis_rep,0,38,90.0,1.0,0.0,2008,477,0.02
2025-05-20,mis_rep,0,39,-120.0,1.0,0.0,2005,636,2.57
2025-05-20,mis_rep,0,40,90.0,1.0,0.0,2009,552,-0.21
2025-05-20,mis_rep,0,41,-30.0,1.0,0.0,2007,447,-2.4
2025-05-20,mis_rep,0,42,120.0,1.0,0.0,2003,423,0.48
2025-05-20,mis_rep,0,43,-120.0,1.0,0.0,2010,447,2.59
2025-05-20,mis_rep,0,44,150.0,1.0,0.0,2011,444,0.98
2025-05-20,mis_rep,0,45,-90.0,1.0,0.0,2003,423,-3.11
2025-05-20,mis_rep,0,46,150.0,1.0,0.0,2011,434,0.9
2025-05-20,mis_rep,0,47,-120.0,1.0,0.0,2010,430,2.56
2025-05-20,mis_rep,0,48,-90.0,1.0,0.0,2008,583,3.13
