date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-03-27,mis_rep,1000,0,150.0,1.0,0.0,2004,12793,1.35
2025-03-27,mis_rep,1000,1,-150.0,1.0,0.0,2008,1154,1.77
2025-03-27,mis_rep,1000,2,150.0,1.0,0.0,2008,790,1.29
2025-03-27,mis_rep,1000,3,120.0,1.0,0.0,2009,812,0.91
2025-03-27,mis_rep,1000,4,120.0,1.0,0.0,2009,911,0.97
2025-03-27,mis_rep,1000,5,-90.0,1.0,0.0,2008,1055,3.07
2025-03-27,mis_rep,1000,6,-150.0,1.0,0.0,2010,538,1.73
2025-03-27,mis_rep,1000,7,-30.0,1.0,0.0,2003,631,-1.79
2025-03-27,mis_rep,1000,8,-90.0,1.0,0.0,2005,766,3.01
2025-03-27,mis_rep,1000,9,0.0,1.0,0.0,2010,590,-1.56
2025-03-27,mis_rep,1000,10,-120.0,1.0,0.0,2005,677,2.15
2025-03-27,mis_rep,1000,11,60.0,1.0,0.0,2003,814,-0.86
2025-03-27,mis_rep,1000,12,30.0,1.0,0.0,2002,745,-1.27
2025-03-27,mis_rep,1000,13,-120.0,1.0,0.0,2005,580,2.08
2025-03-27,mis_rep,1000,14,-30.0,1.0,0.0,2005,594,-1.82
2025-03-27,mis_rep,1000,15,-30.0,1.0,0.0,2006,874,-1.76
2025-03-27,mis_rep,1000,16,30.0,1.0,0.0,2007,623,-1.26
2025-03-27,mis_rep,1000,17,-120.0,1.0,0.0,2002,648,2.13
2025-03-27,mis_rep,1000,18,0.0,1.0,0.0,2002,668,-1.58
2025-03-27,mis_rep,1000,19,60.0,1.0,0.0,2009,652,-0.98
2025-03-27,mis_rep,1000,20,60.0,1.0,0.0,2002,1673,-0.99
2025-03-27,mis_rep,1000,21,-60.0,1.0,0.0,2005,601,-2.21
2025-03-27,mis_rep,1000,22,-60.0,1.0,0.0,2004,614,-2.36
2025-03-27,mis_rep,1000,23,90.0,1.0,0.0,2004,449,-0.15
2025-03-27,mis_rep,1000,24,-90.0,1.0,0.0,2010,992,2.88
2025-03-27,mis_rep,1000,25,30.0,1.0,0.0,2007,643,-1.28
2025-03-27,mis_rep,1000,26,-150.0,1.0,0.0,2010,762,1.88
2025-03-27,mis_rep,1000,27,0.0,1.0,0.0,2010,511,-1.54
2025-03-27,mis_rep,1000,28,-60.0,1.0,0.0,2011,501,-2.37
2025-03-27,mis_rep,1000,29,90.0,1.0,0.0,2001,818,0.01
2025-03-27,mis_rep,1000,30,120.0,1.0,0.0,2006,687,0.75
2025-03-27,mis_rep,1000,31,150.0,1.0,0.0,2002,662,1.12
2025-03-27,mis_rep,1000,32,90.0,1.0,0.0,2010,538,0.12
2025-03-27,mis_rep,1000,33,150.0,1.0,0.0,2004,803,1.13
2025-03-27,mis_rep,1000,34,150.0,1.0,0.0,2004,421,1.33
2025-03-27,mis_rep,1000,35,-120.0,1.0,0.0,2004,481,2.09
2025-03-27,mis_rep,1000,36,30.0,1.0,0.0,2010,591,-1.17
2025-03-27,mis_rep,1000,37,120.0,1.0,0.0,2001,489,0.92
2025-03-27,mis_rep,1000,38,-30.0,1.0,0.0,2007,585,-1.88
2025-03-27,mis_rep,1000,39,-60.0,1.0,0.0,2005,562,-2.46
2025-03-27,mis_rep,1000,40,150.0,1.0,0.0,2010,560,1.2
2025-03-27,mis_rep,1000,41,-30.0,1.0,0.0,2002,558,-1.88
2025-03-27,mis_rep,1000,42,60.0,1.0,0.0,2005,528,-0.86
2025-03-27,mis_rep,1000,43,-120.0,1.0,0.0,2005,627,2.07
2025-03-27,mis_rep,1000,44,60.0,1.0,0.0,2006,542,-0.94
2025-03-27,mis_rep,1000,45,-30.0,1.0,0.0,2005,416,-1.97
2025-03-27,mis_rep,1000,46,-30.0,1.0,0.0,2009,563,-1.82
2025-03-27,mis_rep,1000,47,-30.0,1.0,0.0,2005,516,-1.9
2025-03-27,mis_rep,1000,48,-150.0,1.0,0.0,2003,660,1.9
2025-03-27,mis_rep,1000,49,-150.0,1.0,0.0,2009,495,1.88
2025-03-27,mis_rep,1000,50,150.0,1.0,0.0,2006,577,1.27
2025-03-27,mis_rep,1000,51,0.0,1.0,0.0,2004,450,-1.66
2025-03-27,mis_rep,1000,52,90.0,1.0,0.0,2003,507,0.0
2025-03-27,mis_rep,1000,53,30.0,1.0,0.0,2006,535,-1.3
2025-03-27,mis_rep,1000,54,-120.0,1.0,0.0,2002,456,2.09
2025-03-27,mis_rep,1000,55,120.0,1.0,0.0,2006,506,0.85
2025-03-27,mis_rep,1000,56,-150.0,1.0,0.0,2003,573,1.92
2025-03-27,mis_rep,1000,57,60.0,1.0,0.0,2012,451,-0.73
2025-03-27,mis_rep,1000,58,120.0,1.0,0.0,2011,487,1.03
2025-03-27,mis_rep,1000,59,-30.0,1.0,0.0,2005,497,-1.89
2025-03-27,mis_rep,1000,60,30.0,1.0,0.0,2001,689,-1.26
