condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1000,1,26.78,0.0,569,88,-1.57
interleaved,1000,2,0.0,0.0,458,100,-1.55
interleaved,1000,3,0.0,0.0,358,94,-1.59
interleaved,1000,4,26.78,0.0,356,99,-1.57
interleaved,1000,5,0.0,0.0,1539,116,-1.56
interleaved,1000,6,26.78,0.0,617,92,-1.55
interleaved,1000,7,0.0,0.0,717,118,-1.55
interleaved,1000,8,26.78,0.0,499,109,-1.57
interleaved,1000,9,0.0,0.0,1691,100,-1.61
interleaved,1000,10,0.0,0.0,1166,158,-1.54
interleaved,1000,11,0.0,0.0,1442,103,-1.55
interleaved,1000,12,26.78,0.0,1425,116,-1.62
interleaved,1000,13,26.78,0.0,341,101,-1.58
interleaved,1000,14,26.78,0.0,887,109,-1.6
interleaved,1000,15,26.78,0.0,775,109,-1.65
interleaved,1000,16,26.78,0.0,752,102,-1.6
interleaved,1000,17,26.78,0.0,483,108,-1.63
interleaved,1000,18,0.0,0.0,292,117,-1.6
interleaved,1000,19,0.0,0.0,258,100,-1.56
interleaved,1000,20,0.0,0.0,350,100,-1.58
interleaved,1000,21,26.78,0.0,301,98,-1.59
interleaved,1000,22,26.78,0.0,504,167,-1.52
interleaved,1000,23,0.0,0.0,871,94,-1.54
interleaved,1000,24,0.0,0.0,283,100,-1.53
interleaved,1000,25,0.0,0.0,265,83,-1.52
interleaved,1000,26,0.0,0.0,259,91,-1.53
interleaved,1000,27,0.0,0.0,275,100,-1.53
interleaved,1000,28,26.78,0.0,251,100,-1.56
interleaved,1000,29,0.0,0.0,275,100,-1.55
interleaved,1000,30,0.0,0.26,283,92,-1.84
interleaved,1000,31,0.0,0.26,284,100,-1.83
interleaved,1000,32,26.78,0.26,691,109,-1.8
interleaved,1000,33,0.0,0.26,276,91,-1.54
interleaved,1000,34,26.78,0.26,260,97,-1.57
interleaved,1000,35,0.0,0.26,1225,83,-1.63
interleaved,1000,36,0.0,0.26,296,92,-1.51
interleaved,1000,37,0.0,0.26,267,92,-1.57
interleaved,1000,38,0.0,0.26,283,84,-1.56
interleaved,1000,39,26.78,0.26,392,76,-1.51
interleaved,1000,40,26.78,0.26,371,83,-1.5
interleaved,1000,41,0.0,0.26,283,84,-1.5
interleaved,1000,42,0.0,0.26,325,75,-1.58
interleaved,1000,43,0.0,0.26,419,72,-1.58
interleaved,1000,44,0.0,0.26,292,83,-1.57
interleaved,1000,45,26.78,0.26,290,82,-1.55
interleaved,1000,46,26.78,0.26,341,75,-1.57
interleaved,1000,47,26.78,0.26,266,84,-1.57
interleaved,1000,48,26.78,0.26,251,82,-1.57
interleaved,1000,49,0.0,0.26,284,82,-1.56
interleaved,1000,50,26.78,0.26,283,84,-1.56
interleaved,1000,51,26.78,0.26,275,83,-1.58
interleaved,1000,52,0.0,0.26,259,83,-1.56
interleaved,1000,53,26.78,0.26,283,92,-1.58
interleaved,1000,54,26.78,0.26,409,83,-1.54
interleaved,1000,55,0.0,0.26,367,74,-1.55
interleaved,1000,56,26.78,0.26,1459,73,-1.56
interleaved,1000,57,26.78,0.26,337,68,-1.59
interleaved,1000,58,0.0,0.26,250,83,-1.57
interleaved,1000,59,26.78,0.26,400,84,-1.56
interleaved,1000,60,0.0,0.26,259,84,-1.59
interleaved,1000,61,26.78,0.26,242,91,-1.59
interleaved,1000,62,26.78,0.26,319,73,-1.59
interleaved,1000,63,26.78,0.26,433,83,-1.6
interleaved,1000,64,26.78,0.26,266,92,-1.61
interleaved,1000,65,26.78,0.26,300,76,-1.61
interleaved,1000,66,26.78,0.26,283,100,-1.62
interleaved,1000,67,0.0,0.26,317,99,-1.56
interleaved,1000,68,26.78,0.26,275,75,-1.58
interleaved,1000,69,0.0,0.26,316,85,-1.62
interleaved,1000,70,26.78,0.26,283,76,-1.6
interleaved,1000,71,26.78,0.26,293,90,-1.57
interleaved,1000,72,26.78,0.26,291,75,-1.59
interleaved,1000,73,0.0,0.26,316,76,-1.61
interleaved,1000,74,26.78,0.26,1617,83,-1.52
interleaved,1000,75,26.78,0.26,341,98,-1.51
interleaved,1000,76,0.0,0.26,667,100,-1.53
interleaved,1000,77,26.78,0.26,345,88,-1.55
interleaved,1000,78,26.78,0.26,978,90,-1.52
interleaved,1000,79,26.78,0.26,1017,108,-1.54
interleaved,1000,80,26.78,0.26,433,92,-1.54
interleaved,1000,81,0.0,0.26,525,75,-1.54
interleaved,1000,82,26.78,0.26,267,91,-1.54
interleaved,1000,83,0.0,0.26,501,67,-1.56
interleaved,1000,84,0.0,0.26,901,92,-1.53
