condition,subject,trial,su,rotation,rt,mt,ep
interleaved,2,1,26.78,0.0,675,275,-1.49
interleaved,2,2,0.0,0.0,391,100,-1.61
interleaved,2,3,26.78,0.0,276,83,-1.45
interleaved,2,4,26.78,0.0,283,83,-1.45
interleaved,2,5,0.0,0.0,249,93,-1.45
interleaved,2,6,0.0,0.0,284,116,-1.54
interleaved,2,7,26.78,0.0,350,91,-1.6
interleaved,2,8,0.0,0.0,275,475,-1.57
interleaved,2,9,26.78,0.0,258,84,-1.52
interleaved,2,10,26.78,0.0,250,100,-1.55
interleaved,2,11,26.78,0.0,275,308,-1.62
interleaved,2,12,26.78,0.0,242,66,-1.44
interleaved,2,13,0.0,0.0,267,74,-1.49
interleaved,2,14,0.0,0.0,258,126,-1.55
interleaved,2,15,0.0,0.0,325,92,-1.62
interleaved,2,16,0.0,0.0,250,84,-1.52
interleaved,2,17,26.78,0.0,350,66,-1.55
interleaved,2,18,0.0,0.0,274,67,-1.43
interleaved,2,19,26.78,0.0,317,63,-1.48
interleaved,2,20,26.78,0.0,275,75,-1.61
interleaved,2,21,0.0,0.0,292,67,-1.55
interleaved,2,22,26.78,0.0,284,75,-1.61
interleaved,2,23,26.78,0.0,258,75,-1.55
interleaved,2,24,26.78,0.0,333,83,-1.53
interleaved,2,25,0.0,0.0,292,75,-1.54
interleaved,2,26,26.78,0.0,392,84,-1.56
interleaved,2,27,0.0,0.0,300,75,-1.58
interleaved,2,28,26.78,0.0,300,74,-1.44
interleaved,2,29,26.78,0.0,292,67,-1.52
interleaved,2,30,26.78,0.26,284,58,-1.72
interleaved,2,31,0.0,0.26,284,92,-1.66
interleaved,2,32,26.78,0.26,300,67,-1.7
interleaved,2,33,26.78,0.26,250,75,-1.74
interleaved,2,34,26.78,0.26,441,117,-1.65
interleaved,2,35,26.78,0.26,258,51,-1.64
interleaved,2,36,0.0,0.26,307,58,-1.63
interleaved,2,37,26.78,0.26,276,50,-1.64
interleaved,2,38,0.0,0.26,293,75,-1.62
interleaved,2,39,26.78,0.26,258,58,-1.61
interleaved,2,40,26.78,0.26,300,75,-1.6
interleaved,2,41,0.0,0.26,259,67,-1.53
interleaved,2,42,26.78,0.26,257,83,-1.67
interleaved,2,43,26.78,0.26,232,76,-1.68
interleaved,2,44,26.78,0.26,267,74,-1.66
interleaved,2,45,26.78,0.26,258,75,-1.59
