condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1000,1,0.0,0.0,568,155,-1.56
interleaved,1000,2,0.0,0.0,483,103,-1.5
interleaved,1000,3,0.0,0.0,520,148,-1.54
interleaved,1000,4,26.78,0.0,1413,142,-1.52
interleaved,1000,5,0.0,0.0,515,145,-1.53
interleaved,1000,6,26.78,0.0,489,146,-1.61
interleaved,1000,7,26.78,0.0,450,140,-1.56
interleaved,1000,8,26.78,0.0,354,174,-1.58
interleaved,1000,9,0.0,0.0,416,157,-1.45
interleaved,1000,10,26.78,0.0,390,157,-1.55
interleaved,1000,11,0.0,0.0,352,135,-1.55
interleaved,1000,12,0.0,0.0,372,166,-1.54
interleaved,1000,13,26.78,0.0,350,158,-1.52
interleaved,1000,14,26.78,0.0,1509,157,-1.59
interleaved,1000,15,0.0,0.0,2218,1881,-1.57
interleaved,1000,16,26.78,0.0,3209,187,-1.51
interleaved,1000,17,0.0,0.0,466,157,-1.59
interleaved,1000,18,0.0,0.0,445,133,-1.59
interleaved,1000,19,0.0,0.0,336,124,-1.53
interleaved,1000,20,26.78,0.0,393,134,-1.57
interleaved,1000,21,0.0,0.0,885,145,-1.5
interleaved,1000,22,26.78,0.0,442,165,-1.62
interleaved,1000,23,26.78,0.0,510,144,-1.57
interleaved,1000,24,26.78,0.0,423,134,-1.54
interleaved,1000,25,26.78,0.0,331,155,-1.55
interleaved,1000,26,26.78,0.0,443,146,-1.6
interleaved,1000,27,26.78,0.0,4608,143,-1.49
interleaved,1000,28,0.0,0.0,340,132,-1.52
interleaved,1000,29,0.0,0.0,488,156,-1.57
interleaved,1000,30,26.78,0.26,434,144,-1.82
interleaved,1000,31,26.78,0.26,350,187,-1.93
interleaved,1000,32,26.78,0.26,19368,135,-1.82
interleaved,1000,33,26.78,0.26,21196,144,-1.8
interleaved,1000,34,26.78,0.26,5919,159,-1.79
interleaved,1000,35,26.78,0.26,1111,155,-1.8
interleaved,1000,36,0.0,0.26,12813,159,-1.75
interleaved,1000,37,26.78,0.26,546,206,-1.83
interleaved,1000,38,0.0,0.26,445,246,-1.84
interleaved,1000,39,0.0,0.26,377,155,-1.84
interleaved,1000,40,0.0,0.26,319,146,-1.85
interleaved,1000,41,0.0,0.26,507,176,-1.86
interleaved,1000,42,0.0,0.26,264,214,-1.94
interleaved,1000,43,0.0,0.26,599,185,-1.86
interleaved,1000,44,26.78,0.26,598,167,-1.81
interleaved,1000,45,0.0,0.26,505,208,-1.86
interleaved,1000,46,0.0,0.26,526,194,-1.85
interleaved,1000,47,26.78,0.26,400,188,-1.86
interleaved,1000,48,0.0,0.26,23724,144,-1.8
interleaved,1000,49,0.0,0.26,503,176,-1.82
interleaved,1000,50,26.78,0.26,414,154,-1.84
interleaved,1000,51,0.0,0.26,412,199,-1.87
interleaved,1000,52,26.78,0.26,717,207,-1.81
interleaved,1000,53,26.78,0.26,689,278,-1.87
interleaved,1000,54,26.78,0.26,546,257,-1.88
interleaved,1000,55,0.0,0.26,425,176,-1.85
interleaved,1000,56,26.78,0.26,461,257,-1.85
interleaved,1000,57,0.0,0.26,786,259,-1.89
interleaved,1000,58,0.0,0.26,2399,228,-1.85
interleaved,1000,59,26.78,0.26,675,205,-1.81
interleaved,1000,60,26.78,0.26,462,208,-1.86
interleaved,1000,61,0.0,0.26,210,370,-1.93
interleaved,1000,62,26.78,0.26,423,262,-1.85
interleaved,1000,63,0.0,0.26,432,360,-1.78
interleaved,1000,64,26.78,0.26,373,338,-1.76
interleaved,1000,65,26.78,0.26,402,308,-1.83
interleaved,1000,66,0.0,0.26,445,268,-1.84
interleaved,1000,67,0.0,0.26,445,217,-1.81
interleaved,1000,68,0.0,0.26,486,236,-1.83
interleaved,1000,69,0.0,0.26,497,270,-1.8
interleaved,1000,70,0.0,0.26,2647,287,-1.87
interleaved,1000,71,26.78,0.26,609,289,-1.82
interleaved,1000,72,0.0,0.26,363,263,-1.87
interleaved,1000,73,26.78,0.26,16392,280,-1.84
interleaved,1000,74,0.0,0.26,568,283,-1.86
interleaved,1000,75,26.78,0.26,1345,229,-1.86
interleaved,1000,76,26.78,0.26,630,248,-1.85
interleaved,1000,77,0.0,0.26,415,248,-1.86
interleaved,1000,78,26.78,0.26,496,225,-1.84
interleaved,1000,79,0.0,0.26,535,185,-1.87
interleaved,1000,80,26.78,0.26,510,214,-1.83
interleaved,1000,81,26.78,0.26,521,177,-1.82
interleaved,1000,82,26.78,0.26,402,175,-1.85
interleaved,1000,83,26.78,0.26,456,225,-1.83
interleaved,1000,84,0.0,0.26,364,229,-1.88
interleaved,1000,85,26.78,0.26,435,229,-1.83
interleaved,1000,86,0.0,0.26,365,320,-1.76
interleaved,1000,87,26.78,0.26,299,259,-1.77
interleaved,1000,88,26.78,0.26,384,235,-1.77
interleaved,1000,89,0.0,0.26,446,206,-1.8
interleaved,1000,90,26.78,0.26,361,218,-1.77
interleaved,1000,91,0.0,0.26,391,185,-1.81
interleaved,1000,92,0.0,0.26,392,186,-1.81
interleaved,1000,93,0.0,0.26,549,178,-1.79
interleaved,1000,94,0.0,0.26,596,215,-1.85
interleaved,1000,95,0.0,0.26,2203,217,-1.91
interleaved,1000,96,0.0,0.26,2706,217,-1.81
interleaved,1000,97,26.78,0.26,2123,198,-1.92
interleaved,1000,98,26.78,0.26,475,222,-1.89
interleaved,1000,99,0.0,0.26,873,163,-1.82
interleaved,1000,100,0.0,0.26,744,257,-1.79
interleaved,1000,101,26.78,0.26,1107,207,-1.86
interleaved,1000,102,0.0,0.26,534,271,-1.86
interleaved,1000,103,0.0,0.26,1762,218,-1.84
interleaved,1000,104,26.78,0.26,630,186,-1.78
interleaved,1000,105,26.78,0.26,655,239,-1.78
interleaved,1000,106,0.0,0.26,841,196,-1.78
