condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1302,1,0.0,0.0,5712,113,-1.64
interleaved,1302,2,26.78,0.0,4779,121,-1.61
interleaved,1302,3,26.78,0.0,455,108,-1.68
interleaved,1302,4,0.0,0.0,433,129,-1.64
interleaved,1302,5,26.78,0.0,321,129,-1.63
interleaved,1302,6,26.78,0.0,342,121,-1.65
interleaved,1302,7,0.0,0.0,334,120,-1.58
interleaved,1302,8,26.78,0.0,296,121,-1.6
interleaved,1302,9,26.78,0.0,333,121,-1.58
interleaved,1302,10,26.78,0.0,320,121,-1.62
interleaved,1302,11,26.78,0.0,300,113,-1.61
interleaved,1302,12,26.78,0.0,391,121,-1.62
interleaved,1302,13,0.0,0.0,321,129,-1.62
interleaved,1302,14,0.0,0.0,313,120,-1.63
interleaved,1302,15,0.0,0.0,333,142,-1.58
interleaved,1302,16,0.0,0.0,341,121,-1.63
interleaved,1302,17,26.78,0.0,329,120,-1.63
interleaved,1302,18,26.78,0.0,300,133,-1.63
interleaved,1302,19,26.78,0.0,333,113,-1.64
interleaved,1302,20,26.78,0.0,20,192,-1.58
interleaved,1302,21,26.78,0.0,412,121,-1.6
interleaved,1302,22,0.0,0.0,525,71,-1.64
interleaved,1302,23,26.78,0.0,333,92,-1.56
interleaved,1302,24,26.78,0.0,346,99,-1.56
interleaved,1302,25,0.0,0.0,334,87,-1.63
interleaved,1302,26,26.78,0.0,263,112,-1.61
interleaved,1302,27,0.0,0.0,313,104,-1.64
interleaved,1302,28,0.0,0.0,59,254,-1.71
interleaved,1302,29,26.78,0.0,37,163,-1.6
interleaved,1302,30,26.78,0.26,658,87,-1.94
interleaved,1302,31,0.0,0.26,383,109,-1.89
interleaved,1302,32,0.0,0.26,363,104,-1.9
interleaved,1302,33,0.0,0.26,313,100,-1.91
interleaved,1302,34,0.0,0.26,312,129,-1.89
interleaved,1302,35,0.0,0.26,321,121,-1.9
interleaved,1302,36,0.0,0.26,400,121,-1.88
interleaved,1302,37,0.0,0.26,363,120,-1.9
interleaved,1302,38,0.0,0.26,362,121,-1.9
interleaved,1302,39,0.0,0.26,333,121,-1.97
interleaved,1302,40,26.78,0.26,304,100,-1.97
