,condition,subject,trial,phase,su,emv,rotation,outlier,su_prev,delta_emv,movement_error,movement_error_prev
1,blocked,999,2,1.0,0.0,-1.8505643186982752,0.0,False,,-1.8505643186982752,-1.8505643186982752,
2,blocked,999,3,1.0,26.78,-2.0444861906926093,0.0,False,0.0,-0.19392187199433408,-2.0444861906926093,-1.8505643186982752
3,blocked,999,4,1.0,0.0,0.5740287510230644,0.0,False,26.78,2.6185149417156737,0.5740287510230644,-2.0444861906926093
4,blocked,999,5,1.0,0.0,4.58502170196455,0.0,False,0.0,4.0109929509414854,4.58502170196455,0.5740287510230644
5,blocked,999,6,1.0,26.78,-0.0450626830062788,0.0,False,0.0,-4.630084384970829,-0.0450626830062788,4.58502170196455
6,blocked,999,7,1.0,0.0,-0.8043251527187181,0.0,False,26.78,-0.7592624697124393,-0.8043251527187181,-0.0450626830062788
7,blocked,999,8,1.0,0.0,1.4756733347540631,0.0,False,0.0,2.279998487472781,1.4756733347540631,-0.8043251527187181
8,blocked,999,9,1.0,26.78,1.2014633505447563,0.0,False,0.0,-0.27420998420930687,1.2014633505447563,1.4756733347540631
9,blocked,999,10,1.0,0.0,1.5367378202994786,0.0,False,26.78,0.3352744697547223,1.5367378202994786,1.2014633505447563
10,blocked,999,11,1.0,0.0,1.9673355041027776,0.0,False,0.0,0.430597683803299,1.9673355041027776,1.5367378202994786
11,blocked,999,12,1.0,0.0,0.14639603335257334,0.0,False,0.0,-1.8209394707502042,0.14639603335257334,1.9673355041027776
12,blocked,999,13,1.0,26.78,4.204896685546089,0.0,False,0.0,4.058500652193516,4.204896685546089,0.14639603335257334
13,blocked,999,14,1.0,26.78,-0.49218721160039536,0.0,False,26.78,-4.697083897146484,-0.49218721160039536,4.204896685546089
14,blocked,999,15,1.0,26.78,0.8228356296927615,0.0,False,26.78,1.3150228412931568,0.8228356296927615,-0.49218721160039536
15,blocked,999,16,1.0,0.0,1.1739572185737899,0.0,False,26.78,0.3511215888810284,1.1739572185737899,0.8228356296927615
16,blocked,999,17,1.0,0.0,0.35123359193522674,0.0,False,0.0,-0.8227236266385631,0.35123359193522674,1.1739572185737899
17,blocked,999,18,1.0,26.78,1.040309313188743,0.0,False,0.0,0.6890757212535163,1.040309313188743,0.35123359193522674
18,blocked,999,19,1.0,0.0,1.7855329738775225,0.0,False,26.78,0.7452236606887794,1.7855329738775225,1.040309313188743
19,blocked,999,20,1.0,0.0,0.3958231931871694,0.0,False,0.0,-1.3897097806903531,0.3958231931871694,1.7855329738775225
20,blocked,999,21,1.0,0.0,0.41347511825586025,0.0,False,0.0,0.017651925068690844,0.41347511825586025,0.3958231931871694
21,blocked,999,22,1.0,0.0,0.1870541492266966,0.0,False,0.0,-0.22642096902916364,0.1870541492266966,0.41347511825586025
22,blocked,999,23,1.0,0.0,-0.004616487730942254,0.0,False,0.0,-0.19167063695763886,-0.004616487730942254,0.1870541492266966
